,월,사고유형,사고분류,사고분류_소,사고분류_대,사고수,계절,발생장소,보행중교통사고
327,2,사고건수,차량단독_추락,추락,차량단독,25,겨울,,FALSE
328,2,사망자수,차량단독_추락,추락,차량단독,4,겨울,,FALSE
329,2,부상자수,차량단독_추락,추락,차량단독,23,겨울,,FALSE
330,3,사고건수,차량단독_추락,추락,차량단독,25,봄,,FALSE
331,3,사망자수,차량단독_추락,추락,차량단독,5,봄,,FALSE
332,3,부상자수,차량단독_추락,추락,차량단독,22,봄,,FALSE
333,4,사고건수,차량단독_추락,추락,차량단독,38,봄,,FALSE
334,4,사망자수,차량단독_추락,추락,차량단독,13,봄,,FALSE
335,4,부상자수,차량단독_추락,추락,차량단독,39,봄,,FALSE
336,5,사고건수,차량단독_추락,추락,차량단독,45,봄,,FALSE
337,5,사망자수,차량단독_추락,추락,차량단독,6,봄,,FALSE
338,5,부상자수,차량단독_추락,추락,차량단독,49,봄,,FALSE
339,6,사고건수,차량단독_추락,추락,차량단독,39,봄,,FALSE
340,6,사망자수,차량단독_추락,추락,차량단독,7,봄,,FALSE
341,6,부상자수,차량단독_추락,추락,차량단독,42,봄,,FALSE
342,7,사고건수,차량단독_추락,추락,차량단독,37,여름,,FALSE
343,7,사망자수,차량단독_추락,추락,차량단독,7,여름,,FALSE
344,7,부상자수,차량단독_추락,추락,차량단독,45,여름,,FALSE
345,8,사고건수,차량단독_추락,추락,차량단독,35,여름,,FALSE
346,8,사망자수,차량단독_추락,추락,차량단독,7,여름,,FALSE
347,8,부상자수,차량단독_추락,추락,차량단독,36,여름,,FALSE
348,9,사고건수,차량단독_추락,추락,차량단독,34,가을,,FALSE
349,9,사망자수,차량단독_추락,추락,차량단독,7,가을,,FALSE
350,9,부상자수,차량단독_추락,추락,차량단독,38,가을,,FALSE
351,10,사고건수,차량단독_추락,추락,차량단독,30,가을,,FALSE
352,10,사망자수,차량단독_추락,추락,차량단독,7,가을,,FALSE
353,10,부상자수,차량단독_추락,추락,차량단독,33,가을,,FALSE
354,11,사고건수,차량단독_추락,추락,차량단독,27,가을,,FALSE
355,11,사망자수,차량단독_추락,추락,차량단독,4,가을,,FALSE
356,11,부상자수,차량단독_추락,추락,차량단독,28,가을,,FALSE
357,12,사고건수,차량단독_추락,추락,차량단독,27,겨울,,FALSE
358,12,사망자수,차량단독_추락,추락,차량단독,4,겨울,,FALSE
359,12,부상자수,차량단독_추락,추락,차량단독,29,겨울,,FALSE
360,1,사고건수,차량단독_기타이탈,기타이탈,차량단독,11,겨울,,FALSE
361,1,사망자수,차량단독_기타이탈,기타이탈,차량단독,3,겨울,,FALSE
362,1,부상자수,차량단독_기타이탈,기타이탈,차량단독,11,겨울,,FALSE
363,2,사고건수,차량단독_기타이탈,기타이탈,차량단독,12,겨울,,FALSE
364,2,사망자수,차량단독_기타이탈,기타이탈,차량단독,1,겨울,,FALSE
365,2,부상자수,차량단독_기타이탈,기타이탈,차량단독,13,겨울,,FALSE
366,3,사고건수,차량단독_기타이탈,기타이탈,차량단독,12,봄,,FALSE
367,3,사망자수,차량단독_기타이탈,기타이탈,차량단독,1,봄,,FALSE
368,3,부상자수,차량단독_기타이탈,기타이탈,차량단독,18,봄,,FALSE
369,4,사고건수,차량단독_기타이탈,기타이탈,차량단독,15,봄,,FALSE
370,4,사망자수,차량단독_기타이탈,기타이탈,차량단독,2,봄,,FALSE
371,4,부상자수,차량단독_기타이탈,기타이탈,차량단독,14,봄,,FALSE
372,5,사고건수,차량단독_기타이탈,기타이탈,차량단독,7,봄,,FALSE
373,5,사망자수,차량단독_기타이탈,기타이탈,차량단독,0,봄,,FALSE
374,5,부상자수,차량단독_기타이탈,기타이탈,차량단독,9,봄,,FALSE
375,6,사고건수,차량단독_기타이탈,기타이탈,차량단독,21,봄,,FALSE
376,6,사망자수,차량단독_기타이탈,기타이탈,차량단독,4,봄,,FALSE
377,6,부상자수,차량단독_기타이탈,기타이탈,차량단독,26,봄,,FALSE
378,7,사고건수,차량단독_기타이탈,기타이탈,차량단독,17,여름,,FALSE
379,7,사망자수,차량단독_기타이탈,기타이탈,차량단독,2,여름,,FALSE
380,7,부상자수,차량단독_기타이탈,기타이탈,차량단독,16,여름,,FALSE
381,8,사고건수,차량단독_기타이탈,기타이탈,차량단독,9,여름,,FALSE
382,8,사망자수,차량단독_기타이탈,기타이탈,차량단독,0,여름,,FALSE
383,8,부상자수,차량단독_기타이탈,기타이탈,차량단독,15,여름,,FALSE
384,9,사고건수,차량단독_기타이탈,기타이탈,차량단독,11,가을,,FALSE
385,9,사망자수,차량단독_기타이탈,기타이탈,차량단독,0,가을,,FALSE
386,9,부상자수,차량단독_기타이탈,기타이탈,차량단독,11,가을,,FALSE
387,10,사고건수,차량단독_기타이탈,기타이탈,차량단독,19,가을,,FALSE
388,10,사망자수,차량단독_기타이탈,기타이탈,차량단독,2,가을,,FALSE
389,10,부상자수,차량단독_기타이탈,기타이탈,차량단독,25,가을,,FALSE
390,11,사고건수,차량단독_기타이탈,기타이탈,차량단독,13,가을,,FALSE
391,11,사망자수,차량단독_기타이탈,기타이탈,차량단독,2,가을,,FALSE
392,11,부상자수,차량단독_기타이탈,기타이탈,차량단독,14,가을,,FALSE
393,12,사고건수,차량단독_기타이탈,기타이탈,차량단독,9,겨울,,FALSE
394,12,사망자수,차량단독_기타이탈,기타이탈,차량단독,1,겨울,,FALSE
395,12,부상자수,차량단독_기타이탈,기타이탈,차량단독,14,겨울,,FALSE
396,1,사고건수,차량단독_기타/불명,기타/불명,차량단독,233,겨울,,FALSE
397,1,사망자수,차량단독_기타/불명,기타/불명,차량단독,8,겨울,,FALSE
398,1,부상자수,차량단독_기타/불명,기타/불명,차량단독,240,겨울,,FALSE
399,2,사고건수,차량단독_기타/불명,기타/불명,차량단독,230,겨울,,FALSE
400,2,사망자수,차량단독_기타/불명,기타/불명,차량단독,11,겨울,,FALSE
401,2,부상자수,차량단독_기타/불명,기타/불명,차량단독,265,겨울,,FALSE
402,3,사고건수,차량단독_기타/불명,기타/불명,차량단독,283,봄,,FALSE
403,3,사망자수,차량단독_기타/불명,기타/불명,차량단독,10,봄,,FALSE
404,3,부상자수,차량단독_기타/불명,기타/불명,차량단독,312,봄,,FALSE
405,4,사고건수,차량단독_기타/불명,기타/불명,차량단독,275,봄,,FALSE
406,4,사망자수,차량단독_기타/불명,기타/불명,차량단독,7,봄,,FALSE
407,4,부상자수,차량단독_기타/불명,기타/불명,차량단독,293,봄,,FALSE
408,5,사고건수,차량단독_기타/불명,기타/불명,차량단독,319,봄,,FALSE
409,5,사망자수,차량단독_기타/불명,기타/불명,차량단독,20,봄,,FALSE
410,5,부상자수,차량단독_기타/불명,기타/불명,차량단독,349,봄,,FALSE
411,6,사고건수,차량단독_기타/불명,기타/불명,차량단독,336,봄,,FALSE
412,6,사망자수,차량단독_기타/불명,기타/불명,차량단독,11,봄,,FALSE
413,6,부상자수,차량단독_기타/불명,기타/불명,차량단독,371,봄,,FALSE
414,7,사고건수,차량단독_기타/불명,기타/불명,차량단독,299,여름,,FALSE
415,7,사망자수,차량단독_기타/불명,기타/불명,차량단독,20,여름,,FALSE
416,7,부상자수,차량단독_기타/불명,기타/불명,차량단독,306,여름,,FALSE
417,8,사고건수,차량단독_기타/불명,기타/불명,차량단독,305,여름,,FALSE
418,8,사망자수,차량단독_기타/불명,기타/불명,차량단독,12,여름,,FALSE
419,8,부상자수,차량단독_기타/불명,기타/불명,차량단독,326,여름,,FALSE
420,9,사고건수,차량단독_기타/불명,기타/불명,차량단독,264,가을,,FALSE
421,9,사망자수,차량단독_기타/불명,기타/불명,차량단독,15,가을,,FALSE
422,9,부상자수,차량단독_기타/불명,기타/불명,차량단독,274,가을,,FALSE
423,10,사고건수,차량단독_기타/불명,기타/불명,차량단독,277,가을,,FALSE
424,10,사망자수,차량단독_기타/불명,기타/불명,차량단독,11,가을,,FALSE
425,10,부상자수,차량단독_기타/불명,기타/불명,차량단독,290,가을,,FALSE
426,11,사고건수,차량단독_기타/불명,기타/불명,차량단독,318,가을,,FALSE
427,11,사망자수,차량단독_기타/불명,기타/불명,차량단독,11,가을,,FALSE
428,11,부상자수,차량단독_기타/불명,기타/불명,차량단독,336,가을,,FALSE
429,12,사고건수,차량단독_기타/불명,기타/불명,차량단독,262,겨울,,FALSE
430,12,사망자수,차량단독_기타/불명,기타/불명,차량단독,12,겨울,,FALSE
431,12,부상자수,차량단독_기타/불명,기타/불명,차량단독,277,겨울,,FALSE
