,월,사고유형,사고분류,사고분류_소,사고분류_대,사고수,계절,발생장소,보행중교통사고
63,10,사고건수,차대사람_차도통행중,차도통행중,차대사람,364,가을,차도,TRUE
64,10,사망자수,차대사람_차도통행중,차도통행중,차대사람,16,가을,차도,TRUE
65,10,부상자수,차대사람_차도통행중,차도통행중,차대사람,367,가을,차도,TRUE
66,11,사고건수,차대사람_차도통행중,차도통행중,차대사람,357,가을,차도,TRUE
67,11,사망자수,차대사람_차도통행중,차도통행중,차대사람,24,가을,차도,TRUE
68,11,부상자수,차대사람_차도통행중,차도통행중,차대사람,349,가을,차도,TRUE
69,12,사고건수,차대사람_차도통행중,차도통행중,차대사람,316,겨울,차도,TRUE
70,12,사망자수,차대사람_차도통행중,차도통행중,차대사람,16,겨울,차도,TRUE
71,12,부상자수,차대사람_차도통행중,차도통행중,차대사람,307,겨울,차도,TRUE
72,1,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1151,겨울,보도,TRUE
73,1,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,31,겨울,보도,TRUE
74,1,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1179,겨울,보도,TRUE
75,2,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1118,겨울,보도,TRUE
76,2,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,16,겨울,보도,TRUE
77,2,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1151,겨울,보도,TRUE
78,3,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1417,봄,보도,TRUE
79,3,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,27,봄,보도,TRUE
80,3,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1456,봄,보도,TRUE
81,4,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1497,봄,보도,TRUE
82,4,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,25,봄,보도,TRUE
83,4,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1529,봄,보도,TRUE
84,5,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1420,봄,보도,TRUE
85,5,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,32,봄,보도,TRUE
86,5,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1454,봄,보도,TRUE
87,6,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1425,봄,보도,TRUE
88,6,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,20,봄,보도,TRUE
89,6,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1468,봄,보도,TRUE
