요일,시간대,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
요일,시간대,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
일,00시-02시,"1,084",41,"1,605",68,3,85,67,2,104,93,3,137,87,1,133,100,3,150,92,5,126,110,5,163,94,4,146,48,2,71,117,5,180,114,3,178,94,5,132
일,02시-04시,521,13,767,22,0,36,34,0,52,55,2,71,43,0,59,56,2,83,52,0,77,44,1,75,31,0,42,29,1,43,44,1,78,77,3,102,34,3,49
일,04시-06시,416,21,605,21,0,34,29,3,36,36,2,56,32,4,44,46,4,62,43,2,60,27,1,39,42,1,65,37,0,56,31,1,45,41,2,63,31,1,45
일,06시-08시,592,12,861,34,3,39,42,0,56,39,0,49,39,0,70,71,0,105,59,0,86,43,1,73,60,1,85,40,1,50,73,2,114,50,1,73,42,3,61
일,08시-10시,"1,087",32,"1,571",74,0,103,69,3,106,68,1,104,98,1,125,115,4,165,95,4,123,78,4,108,106,3,163,93,2,129,128,6,187,81,0,122,82,4,136
일,10시-12시,"2,089",27,"3,345",144,1,234,131,2,212,142,1,217,176,2,295,237,2,377,181,3,276,152,0,245,181,1,314,182,4,293,235,2,387,199,5,303,129,4,192
일,12시-14시,"2,888",29,"4,590",217,2,296,166,3,274,210,1,346,238,1,403,315,6,503,249,0,392,247,3,372,276,3,440,224,2,347,308,7,506,228,1,381,210,0,330
일,14시-16시,"3,107",35,"5,172",218,1,363,209,0,331,242,1,404,282,5,480,326,8,524,279,3,479,247,4,415,278,3,497,248,3,412,310,5,498,263,2,429,205,0,340
일,16시-18시,"3,015",41,"4,831",216,3,332,213,2,354,226,5,361,264,2,442,297,5,463,252,3,405,229,1,383,286,5,443,269,5,446,329,5,513,241,3,395,193,2,294
일,18시-20시,"3,063",33,"4,721",275,4,394,217,4,351,217,1,362,232,1,358,272,4,417,223,1,355,216,2,344,268,2,407,237,3,365,396,4,644,275,5,405,235,2,319
일,20시-22시,"2,446",35,"3,576",219,1,317,190,5,256,168,2,247,174,3,267,249,1,346,196,3,261,203,3,306,258,7,398,168,1,247,270,7,420,182,0,267,169,2,244
일,22시-24시,"1,504",28,"2,221",90,2,132,125,5,200,128,3,192,108,0,159,177,4,254,117,2,190,110,1,147,138,3,206,105,1,151,181,4,264,125,0,188,100,3,138
월,00시-02시,538,12,791,19,1,24,27,1,31,50,0,88,42,0,73,46,0,71,47,0,65,37,0,52,53,2,73,50,0,72,47,2,64,94,6,141,26,0,37
월,02시-04시,305,16,436,9,2,10,16,2,19,40,2,60,32,0,47,26,1,35,27,2,33,27,2,36,22,0,43,29,3,48,18,0,22,44,2,63,15,0,20
월,04시-06시,535,26,750,21,1,24,35,0,52,43,3,61,38,1,59,57,0,86,40,1,53,41,2,56,42,3,59,40,1,46,56,3,92,70,8,84,52,3,78
월,06시-08시,"1,880",41,"2,598",150,5,200,142,2,197,172,2,240,163,4,230,177,2,264,149,3,211,142,0,204,141,4,202,135,1,193,127,5,153,232,6,304,150,7,200
월,08시-10시,"3,377",49,"4,739",198,2,306,258,12,342,338,7,485,311,4,411,317,3,448,306,5,420,288,4,416,267,2,369,225,1,303,242,1,351,336,7,482,291,1,406
월,10시-12시,"3,119",59,"4,310",201,5,285,209,3,299,261,8,363,253,2,363,289,7,369,271,7,371,276,2,371,311,3,460,272,8,397,220,5,307,310,4,399,246,5,326
월,12시-14시,"3,267",41,"4,727",196,2,267,256,1,351,292,2,420,239,3,331,308,10,436,264,4,372,268,2,384,347,5,527,278,2,434,262,3,414,327,4,489,230,3,302
월,14시-16시,"3,544",41,"5,071",230,1,342,250,6,363,303,4,468,290,3,406,369,6,492,303,5,395,286,1,425,338,3,504,250,1,334,284,5,435,369,3,528,272,3,379
월,16시-18시,"4,023",38,"5,854",243,5,352,289,2,421,357,5,524,332,4,511,393,1,564,378,1,549,332,1,446,374,3,554,290,6,456,310,4,447,433,5,617,292,1,413
월,18시-20시,"4,272",48,"5,930",361,1,492,333,4,465,405,7,569,316,3,431,340,3,459,314,5,429,290,2,385,359,5,538,329,2,447,396,7,591,464,2,644,365,7,480
월,20시-22시,"2,786",49,"3,912",257,4,336,213,4,326,245,1,349,243,3,341,260,3,344,183,5,271,211,0,277,293,9,420,215,4,290,221,5,310,229,4,323,216,7,325
월,22시-24시,"1,822",34,"2,660",93,2,132,136,1,195,187,1,280,158,3,230,188,2,273,142,4,209,139,0,206,175,3,240,148,5,237,145,3,228,172,5,237,139,5,193
