,법규위반유형,유형,주야,월,사고수
160,앞지르기금지위반,사망자수,야,06,0
161,앞지르기금지위반,부상자수,야,06,15
162,앞지르기금지위반,사고건수,야,07,10
163,앞지르기금지위반,사망자수,야,07,0
164,앞지르기금지위반,부상자수,야,07,15
165,앞지르기금지위반,사고건수,야,08,5
166,앞지르기금지위반,사망자수,야,08,0
167,앞지르기금지위반,부상자수,야,08,7
168,앞지르기금지위반,사고건수,야,09,6
169,앞지르기금지위반,사망자수,야,09,0
170,앞지르기금지위반,부상자수,야,09,8
171,앞지르기금지위반,사고건수,야,10,10
172,앞지르기금지위반,사망자수,야,10,0
173,앞지르기금지위반,부상자수,야,10,13
174,앞지르기금지위반,사고건수,야,11,9
175,앞지르기금지위반,사망자수,야,11,0
176,앞지르기금지위반,부상자수,야,11,16
177,앞지르기금지위반,사고건수,야,12,5
178,앞지르기금지위반,사망자수,야,12,0
179,앞지르기금지위반,부상자수,야,12,10
180,중앙선침범,사고건수,주,01,369
181,중앙선침범,사망자수,주,01,7
182,중앙선침범,부상자수,주,01,601
183,중앙선침범,사고건수,주,02,373
184,중앙선침범,사망자수,주,02,8
185,중앙선침범,부상자수,주,02,591
186,중앙선침범,사고건수,주,03,411
187,중앙선침범,사망자수,주,03,9
188,중앙선침범,부상자수,주,03,647
189,중앙선침범,사고건수,주,04,405
190,중앙선침범,사망자수,주,04,9
191,중앙선침범,부상자수,주,04,634
192,중앙선침범,사고건수,주,05,436
193,중앙선침범,사망자수,주,05,11
194,중앙선침범,부상자수,주,05,714
195,중앙선침범,사고건수,주,06,492
196,중앙선침범,사망자수,주,06,9
197,중앙선침범,부상자수,주,06,811
198,중앙선침범,사고건수,주,07,547
199,중앙선침범,사망자수,주,07,7
200,중앙선침범,부상자수,주,07,892
201,중앙선침범,사고건수,주,08,447
202,중앙선침범,사망자수,주,08,9
203,중앙선침범,부상자수,주,08,769
204,중앙선침범,사고건수,주,09,454
205,중앙선침범,사망자수,주,09,4
206,중앙선침범,부상자수,주,09,781
207,중앙선침범,사고건수,주,10,463
208,중앙선침범,사망자수,주,10,8
209,중앙선침범,부상자수,주,10,721
210,중앙선침범,사고건수,주,11,472
211,중앙선침범,사망자수,주,11,18
212,중앙선침범,부상자수,주,11,775
213,중앙선침범,사고건수,주,12,396
214,중앙선침범,사망자수,주,12,10
215,중앙선침범,부상자수,주,12,609
216,중앙선침범,사고건수,야,01,269
217,중앙선침범,사망자수,야,01,10
218,중앙선침범,부상자수,야,01,395
219,중앙선침범,사고건수,야,02,225
220,중앙선침범,사망자수,야,02,6
221,중앙선침범,부상자수,야,02,340
222,중앙선침범,사고건수,야,03,242
223,중앙선침범,사망자수,야,03,2
224,중앙선침범,부상자수,야,03,377
225,중앙선침범,사고건수,야,04,255
226,중앙선침범,사망자수,야,04,5
227,중앙선침범,부상자수,야,04,372
228,중앙선침범,사고건수,야,05,271
229,중앙선침범,사망자수,야,05,2
230,중앙선침범,부상자수,야,05,438
231,중앙선침범,사고건수,야,06,286
232,중앙선침범,사망자수,야,06,12
233,중앙선침범,부상자수,야,06,426
234,중앙선침범,사고건수,야,07,302
235,중앙선침범,사망자수,야,07,10
236,중앙선침범,부상자수,야,07,474
237,중앙선침범,사고건수,야,08,253
238,중앙선침범,사망자수,야,08,5
239,중앙선침범,부상자수,야,08,381
240,중앙선침범,사고건수,야,09,243
241,중앙선침범,사망자수,야,09,4
242,중앙선침범,부상자수,야,09,377
243,중앙선침범,사고건수,야,10,332
244,중앙선침범,사망자수,야,10,8
245,중앙선침범,부상자수,야,10,541
246,중앙선침범,사고건수,야,11,296
247,중앙선침범,사망자수,야,11,8
248,중앙선침범,부상자수,야,11,473
249,중앙선침범,사고건수,야,12,285
250,중앙선침범,사망자수,야,12,7
251,중앙선침범,부상자수,야,12,416
252,신호위반,사고건수,주,01,953
253,신호위반,사망자수,주,01,9
254,신호위반,부상자수,주,01,1423
255,신호위반,사고건수,주,02,987
256,신호위반,사망자수,주,02,9
257,신호위반,부상자수,주,02,1521
258,신호위반,사고건수,주,03,1095
259,신호위반,사망자수,주,03,12
260,신호위반,부상자수,주,03,1670
261,신호위반,사고건수,주,04,1176
262,신호위반,사망자수,주,04,9
263,신호위반,부상자수,주,04,1757
264,신호위반,사고건수,주,05,1142
265,신호위반,사망자수,주,05,12
266,신호위반,부상자수,주,05,1743
267,신호위반,사고건수,주,06,1201
268,신호위반,사망자수,주,06,9
269,신호위반,부상자수,주,06,1843
270,신호위반,사고건수,주,07,1262
271,신호위반,사망자수,주,07,16
272,신호위반,부상자수,주,07,1896
273,신호위반,사고건수,주,08,1121
274,신호위반,사망자수,주,08,9
275,신호위반,부상자수,주,08,1739
276,신호위반,사고건수,주,09,1186
277,신호위반,사망자수,주,09,11
278,신호위반,부상자수,주,09,1696
279,신호위반,사고건수,주,10,1229
280,신호위반,사망자수,주,10,12
281,신호위반,부상자수,주,10,1834
282,신호위반,사고건수,주,11,1226
283,신호위반,사망자수,주,11,14
284,신호위반,부상자수,주,11,1831
285,신호위반,사고건수,주,12,1173
286,신호위반,사망자수,주,12,15
287,신호위반,부상자수,주,12,1731
288,신호위반,사고건수,야,01,834
289,신호위반,사망자수,야,01,10
290,신호위반,부상자수,야,01,1273
291,신호위반,사고건수,야,02,831
292,신호위반,사망자수,야,02,6
293,신호위반,부상자수,야,02,1297
294,신호위반,사고건수,야,03,872
295,신호위반,사망자수,야,03,7
296,신호위반,부상자수,야,03,1385
297,신호위반,사고건수,야,04,950
298,신호위반,사망자수,야,04,7
299,신호위반,부상자수,야,04,1453
300,신호위반,사고건수,야,05,903
301,신호위반,사망자수,야,05,9
302,신호위반,부상자수,야,05,1469
303,신호위반,사고건수,야,06,889
304,신호위반,사망자수,야,06,5
305,신호위반,부상자수,야,06,1361
306,신호위반,사고건수,야,07,892
307,신호위반,사망자수,야,07,7
308,신호위반,부상자수,야,07,1372
309,신호위반,사고건수,야,08,885
310,신호위반,사망자수,야,08,10
311,신호위반,부상자수,야,08,1367
312,신호위반,사고건수,야,09,911
313,신호위반,사망자수,야,09,11
314,신호위반,부상자수,야,09,1412
315,신호위반,사고건수,야,10,1006
316,신호위반,사망자수,야,10,17
317,신호위반,부상자수,야,10,1536
318,신호위반,사고건수,야,11,956
319,신호위반,사망자수,야,11,4
320,신호위반,부상자수,야,11,1384
321,신호위반,사고건수,야,12,928
322,신호위반,사망자수,야,12,11
323,신호위반,부상자수,야,12,1360
324,안전거리미확보,사고건수,주,01,1013
325,안전거리미확보,사망자수,주,01,1
326,안전거리미확보,부상자수,주,01,1651
327,안전거리미확보,사고건수,주,02,1044
328,안전거리미확보,사망자수,주,02,3
329,안전거리미확보,부상자수,주,02,1721
330,안전거리미확보,사고건수,주,03,1165
331,안전거리미확보,사망자수,주,03,1
332,안전거리미확보,부상자수,주,03,1883
333,안전거리미확보,사고건수,주,04,1248
334,안전거리미확보,사망자수,주,04,2
335,안전거리미확보,부상자수,주,04,2062
336,안전거리미확보,사고건수,주,05,1291
337,안전거리미확보,사망자수,주,05,4
338,안전거리미확보,부상자수,주,05,2128
339,안전거리미확보,사고건수,주,06,1213
340,안전거리미확보,사망자수,주,06,2
341,안전거리미확보,부상자수,주,06,1939
342,안전거리미확보,사고건수,주,07,1231
343,안전거리미확보,사망자수,주,07,5
344,안전거리미확보,부상자수,주,07,1938
345,안전거리미확보,사고건수,주,08,1154
346,안전거리미확보,사망자수,주,08,3
347,안전거리미확보,부상자수,주,08,1933
348,안전거리미확보,사고건수,주,09,1197
349,안전거리미확보,사망자수,주,09,1
350,안전거리미확보,부상자수,주,09,1902
351,안전거리미확보,사고건수,주,10,1289
352,안전거리미확보,사망자수,주,10,3
353,안전거리미확보,부상자수,주,10,2073
354,안전거리미확보,사고건수,주,11,1278
355,안전거리미확보,사망자수,주,11,2
356,안전거리미확보,부상자수,주,11,1991
357,안전거리미확보,사고건수,주,12,1181
