도로종류,시간대,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
도로종류,시간대,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
일반국도,00시-02시,509,31,780,22,0,31,27,2,40,43,3,72,42,1,62,38,2,64,55,5,76,52,6,78,40,3,68,27,1,43,39,1,56,71,4,107,53,3,83
일반국도,02시-04시,230,12,351,10,2,18,13,1,22,23,2,27,25,1,50,22,0,29,21,1,32,19,0,36,18,0,25,15,1,19,13,2,21,24,2,33,27,0,39
일반국도,04시-06시,440,32,604,29,3,38,22,1,31,33,3,42,30,0,41,37,2,52,27,2,37,41,3,62,43,5,51,46,3,53,51,3,87,41,2,60,40,5,50
일반국도,06시-08시,"1,194",55,"1,764",91,7,140,88,3,125,93,3,150,100,6,152,107,3,154,104,6,160,88,1,130,91,2,125,94,4,150,94,7,135,126,8,168,118,5,175
일반국도,08시-10시,"2,003",47,"2,992",144,4,222,123,5,197,154,5,230,180,2,269,159,7,241,186,6,270,167,2,244,160,5,237,184,2,293,194,3,273,193,1,280,159,5,236
일반국도,10시-12시,"2,001",59,"3,135",122,2,206,149,6,217,141,1,220,189,6,301,166,5,247,181,7,284,201,3,329,171,5,293,195,9,313,169,6,273,175,4,258,142,5,194
일반국도,12시-14시,"2,205",53,"3,604",150,1,234,157,5,257,163,5,241,195,4,304,209,7,358,202,4,350,194,6,347,218,6,374,163,3,273,202,6,330,194,2,296,158,4,240
일반국도,14시-16시,"2,257",38,"3,814",147,1,239,157,3,298,178,3,267,194,3,339,219,6,350,209,8,374,205,1,370,182,1,310,200,3,330,217,5,387,180,3,298,169,1,252
일반국도,16시-18시,"2,446",37,"3,933",140,3,209,162,2,291,201,5,333,206,7,345,228,5,371,229,0,369,207,3,340,181,0,299,205,3,359,226,3,341,255,3,374,206,3,302
일반국도,18시-20시,"2,658",55,"4,101",204,7,327,196,5,303,200,4,303,213,1,331,194,2,311,181,2,270,180,3,285,191,0,289,243,3,355,311,14,481,302,8,475,243,6,371
일반국도,20시-22시,"1,801",62,"2,839",141,4,232,153,6,256,143,1,223,141,7,215,152,2,244,131,8,196,155,5,247,167,11,259,171,2,262,148,9,211,138,5,229,161,2,265
일반국도,22시-24시,"1,239",43,"1,875",72,3,91,85,4,128,126,2,197,115,1,190,107,2,157,128,6,203,96,1,149,76,2,111,108,7,170,139,5,201,94,6,130,93,4,148
지방도,00시-02시,367,19,544,15,0,26,23,1,39,24,0,53,33,2,51,33,3,52,29,1,38,55,1,90,27,2,35,27,4,32,38,3,51,37,1,49,26,1,28
지방도,02시-04시,164,13,223,7,1,9,8,0,9,11,3,11,14,0,25,25,0,28,17,0,25,15,0,19,13,3,21,19,3,25,7,0,18,20,1,23,8,2,10
지방도,04시-06시,218,16,272,16,1,19,6,1,7,22,5,20,23,3,29,17,0,20,10,1,14,25,2,35,22,0,29,19,1,20,25,2,31,18,0,22,15,0,26
지방도,06시-08시,854,28,"1,237",65,6,79,56,1,81,62,0,81,83,0,142,72,1,132,72,3,94,68,2,100,53,4,67,66,0,96,74,3,104,94,5,141,89,3,120
지방도,08시-10시,"1,404",21,"2,101",108,2,178,96,1,131,119,2,174,128,4,186,125,0,176,121,1,192,126,3,198,114,1,168,122,1,159,109,1,173,128,4,202,108,1,164
지방도,10시-12시,"1,551",33,"2,318",108,0,162,101,2,158,139,4,199,112,3,166,132,3,197,149,2,216,154,1,236,145,4,201,142,6,219,122,2,204,138,6,192,109,0,168
지방도,12시-14시,"1,728",33,"2,772",116,3,180,132,2,228,135,3,218,154,4,223,157,4,242,152,4,252,156,3,258,151,1,251,150,1,245,157,3,245,146,1,223,122,4,207
지방도,14시-16시,"1,764",40,"2,808",107,3,175,124,5,185,151,4,252,136,3,225,159,3,253,167,4,287,166,5,258,171,4,273,128,1,198,165,2,277,162,4,254,128,2,171
지방도,16시-18시,"1,982",35,"3,120",120,3,182,130,0,229,149,2,216,181,3,260,182,1,294,181,3,271,194,1,311,158,5,250,169,3,283,179,5,274,181,4,293,158,5,257
지방도,18시-20시,"1,965",52,"2,918",176,4,230,147,5,210,158,6,222,121,4,227,144,3,232,110,2,159,170,3,249,148,3,228,161,2,242,238,10,356,212,5,307,180,5,256
지방도,20시-22시,"1,217",33,"1,797",89,1,120,104,4,165,102,0,158,94,4,132,97,3,141,97,1,140,131,6,201,123,3,189,102,1,143,101,1,143,76,1,113,101,8,152
지방도,22시-24시,777,18,"1,167",54,2,77,66,0,104,70,0,105,74,2,114,65,4,106,65,2,96,80,1,108,54,0,79,50,2,75,65,2,106,68,2,99,66,1,98
특별광역시도,00시-02시,"2,660",48,"3,866",154,3,220,171,3,248,225,4,335,206,2,317,235,2,344,247,7,350,254,6,359,169,3,225,206,6,296,211,6,318,321,4,474,261,2,380
특별광역시도,02시-04시,"1,275",43,"1,785",73,1,104,80,3,118,113,3,163,107,1,141,121,2,171,120,1,168,119,7,166,89,2,130,90,4,129,77,8,99,179,6,252,107,5,144
특별광역시도,04시-06시,"1,545",44,"2,084",98,2,122,104,4,137,159,3,227,118,4,155,150,3,216,114,2,156,129,4,179,116,5,152,118,5,159,130,1,182,169,7,228,140,4,171
특별광역시도,06시-08시,"3,819",68,"4,965",271,4,344,243,2,309,343,5,465,340,3,461,317,5,443,333,5,431,308,7,392,288,5,379,294,2,381,315,5,376,395,12,531,372,13,453
특별광역시도,08시-10시,"7,233",55,"9,780",491,3,695,503,9,689,609,1,849,685,7,906,607,6,842,678,3,919,669,4,912,558,4,751,604,5,803,631,2,853,623,4,807,575,7,754
특별광역시도,10시-12시,"7,867",65,"10,696",550,1,781,516,3,726,647,11,873,688,3,931,643,7,873,695,8,926,773,13,"1,032",663,6,919,671,3,910,723,7,980,697,0,942,601,3,803
