도로종류,시간대,사고수,월,유형
고속국도,20시-22시,0,01,사망자수
고속국도,22시-24시,2,01,사망자수
일반국도,00시-02시,31,01,부상자수
일반국도,02시-04시,18,01,부상자수
일반국도,04시-06시,38,01,부상자수
일반국도,06시-08시,140,01,부상자수
일반국도,08시-10시,222,01,부상자수
일반국도,10시-12시,206,01,부상자수
일반국도,12시-14시,234,01,부상자수
일반국도,14시-16시,239,01,부상자수
일반국도,16시-18시,209,01,부상자수
일반국도,18시-20시,327,01,부상자수
일반국도,20시-22시,232,01,부상자수
일반국도,22시-24시,91,01,부상자수
지방도,00시-02시,26,01,부상자수
지방도,02시-04시,9,01,부상자수
지방도,04시-06시,19,01,부상자수
지방도,06시-08시,79,01,부상자수
지방도,08시-10시,178,01,부상자수
지방도,10시-12시,162,01,부상자수
지방도,12시-14시,180,01,부상자수
지방도,14시-16시,175,01,부상자수
지방도,16시-18시,182,01,부상자수
지방도,18시-20시,230,01,부상자수
지방도,20시-22시,120,01,부상자수
지방도,22시-24시,77,01,부상자수
특별광역시도,00시-02시,220,01,부상자수
특별광역시도,02시-04시,104,01,부상자수
특별광역시도,04시-06시,122,01,부상자수
특별광역시도,06시-08시,344,01,부상자수
특별광역시도,08시-10시,695,01,부상자수
특별광역시도,10시-12시,781,01,부상자수
특별광역시도,12시-14시,978,01,부상자수
특별광역시도,14시-16시,1051,01,부상자수
특별광역시도,16시-18시,1034,01,부상자수
특별광역시도,18시-20시,1470,01,부상자수
특별광역시도,20시-22시,1217,01,부상자수
특별광역시도,22시-24시,523,01,부상자수
시도,00시-02시,153,01,부상자수
시도,02시-04시,58,01,부상자수
시도,04시-06시,87,01,부상자수
시도,06시-08시,396,01,부상자수
시도,08시-10시,615,01,부상자수
시도,10시-12시,694,01,부상자수
시도,12시-14시,775,01,부상자수
시도,14시-16시,825,01,부상자수
시도,16시-18시,877,01,부상자수
시도,18시-20시,1254,01,부상자수
시도,20시-22시,966,01,부상자수
시도,22시-24시,390,01,부상자수
군도,00시-02시,3,01,부상자수
군도,02시-04시,1,01,부상자수
군도,04시-06시,0,01,부상자수
군도,06시-08시,19,01,부상자수
군도,08시-10시,75,01,부상자수
