	법규위반유형	유형	주야	월	사고수
679	보행자보호의무위반	사망자수	주	11	3
680	보행자보호의무위반	부상자수	주	11	424
681	보행자보호의무위반	사고건수	주	12	396
682	보행자보호의무위반	사망자수	주	12	6
683	보행자보호의무위반	부상자수	주	12	407
684	보행자보호의무위반	사고건수	야	1	217
685	보행자보호의무위반	사망자수	야	1	1
686	보행자보호의무위반	부상자수	야	1	230
687	보행자보호의무위반	사고건수	야	2	190
688	보행자보호의무위반	사망자수	야	2	3
689	보행자보호의무위반	부상자수	야	2	201
690	보행자보호의무위반	사고건수	야	3	212
691	보행자보호의무위반	사망자수	야	3	4
692	보행자보호의무위반	부상자수	야	3	220
693	보행자보호의무위반	사고건수	야	4	195
694	보행자보호의무위반	사망자수	야	4	0
695	보행자보호의무위반	부상자수	야	4	219
696	보행자보호의무위반	사고건수	야	5	207
697	보행자보호의무위반	사망자수	야	5	1
698	보행자보호의무위반	부상자수	야	5	228
699	보행자보호의무위반	사고건수	야	6	203
700	보행자보호의무위반	사망자수	야	6	3
701	보행자보호의무위반	부상자수	야	6	218
702	보행자보호의무위반	사고건수	야	7	174
703	보행자보호의무위반	사망자수	야	7	3
704	보행자보호의무위반	부상자수	야	7	183
705	보행자보호의무위반	사고건수	야	8	160
706	보행자보호의무위반	사망자수	야	8	1
707	보행자보호의무위반	부상자수	야	8	172
708	보행자보호의무위반	사고건수	야	9	236
709	보행자보호의무위반	사망자수	야	9	4
710	보행자보호의무위반	부상자수	야	9	248
711	보행자보호의무위반	사고건수	야	10	221
712	보행자보호의무위반	사망자수	야	10	5
713	보행자보호의무위반	부상자수	야	10	233
714	보행자보호의무위반	사고건수	야	11	245
715	보행자보호의무위반	사망자수	야	11	4
716	보행자보호의무위반	부상자수	야	11	264
717	보행자보호의무위반	사고건수	야	12	238
718	보행자보호의무위반	사망자수	야	12	6
719	보행자보호의무위반	부상자수	야	12	249
720	차로위반(진로변경)	사고건수	주	1	174
721	차로위반(진로변경)	사망자수	주	1	1
722	차로위반(진로변경)	부상자수	주	1	264
723	차로위반(진로변경)	사고건수	주	2	165
724	차로위반(진로변경)	사망자수	주	2	0
725	차로위반(진로변경)	부상자수	주	2	225
726	차로위반(진로변경)	사고건수	주	3	196
727	차로위반(진로변경)	사망자수	주	3	0
728	차로위반(진로변경)	부상자수	주	3	315
729	차로위반(진로변경)	사고건수	주	4	181
730	차로위반(진로변경)	사망자수	주	4	2
731	차로위반(진로변경)	부상자수	주	4	270
732	차로위반(진로변경)	사고건수	주	5	172
733	차로위반(진로변경)	사망자수	주	5	0
734	차로위반(진로변경)	부상자수	주	5	266
735	차로위반(진로변경)	사고건수	주	6	199
736	차로위반(진로변경)	사망자수	주	6	0
737	차로위반(진로변경)	부상자수	주	6	294
738	차로위반(진로변경)	사고건수	주	7	179
739	차로위반(진로변경)	사망자수	주	7	0
740	차로위반(진로변경)	부상자수	주	7	272
741	차로위반(진로변경)	사고건수	주	8	178
742	차로위반(진로변경)	사망자수	주	8	1
743	차로위반(진로변경)	부상자수	주	8	247
744	차로위반(진로변경)	사고건수	주	9	174
745	차로위반(진로변경)	사망자수	주	9	0
746	차로위반(진로변경)	부상자수	주	9	301
747	차로위반(진로변경)	사고건수	주	10	172
748	차로위반(진로변경)	사망자수	주	10	2
749	차로위반(진로변경)	부상자수	주	10	269
750	차로위반(진로변경)	사고건수	주	11	168
751	차로위반(진로변경)	사망자수	주	11	0
752	차로위반(진로변경)	부상자수	주	11	241
753	차로위반(진로변경)	사고건수	주	12	165
754	차로위반(진로변경)	사망자수	주	12	0
755	차로위반(진로변경)	부상자수	주	12	238
756	차로위반(진로변경)	사고건수	야	1	86
757	차로위반(진로변경)	사망자수	야	1	0
758	차로위반(진로변경)	부상자수	야	1	132
759	차로위반(진로변경)	사고건수	야	2	93
760	차로위반(진로변경)	사망자수	야	2	0
761	차로위반(진로변경)	부상자수	야	2	138
762	차로위반(진로변경)	사고건수	야	3	109
763	차로위반(진로변경)	사망자수	야	3	0
764	차로위반(진로변경)	부상자수	야	3	149
765	차로위반(진로변경)	사고건수	야	4	83
766	차로위반(진로변경)	사망자수	야	4	0
767	차로위반(진로변경)	부상자수	야	4	132
768	차로위반(진로변경)	사고건수	야	5	87
769	차로위반(진로변경)	사망자수	야	5	2
770	차로위반(진로변경)	부상자수	야	5	129
771	차로위반(진로변경)	사고건수	야	6	76
772	차로위반(진로변경)	사망자수	야	6	0
773	차로위반(진로변경)	부상자수	야	6	127
774	차로위반(진로변경)	사고건수	야	7	115
775	차로위반(진로변경)	사망자수	야	7	0
776	차로위반(진로변경)	부상자수	야	7	178
777	차로위반(진로변경)	사고건수	야	8	72
778	차로위반(진로변경)	사망자수	야	8	0
779	차로위반(진로변경)	부상자수	야	8	99
780	차로위반(진로변경)	사고건수	야	9	90
781	차로위반(진로변경)	사망자수	야	9	0
782	차로위반(진로변경)	부상자수	야	9	128
783	차로위반(진로변경)	사고건수	야	10	105
784	차로위반(진로변경)	사망자수	야	10	0
785	차로위반(진로변경)	부상자수	야	10	149
786	차로위반(진로변경)	사고건수	야	11	94
787	차로위반(진로변경)	사망자수	야	11	0
788	차로위반(진로변경)	부상자수	야	11	139
789	차로위반(진로변경)	사고건수	야	12	86
790	차로위반(진로변경)	사망자수	야	12	0
791	차로위반(진로변경)	부상자수	야	12	117
792	직진우회전진행방해	사고건수	주	1	322
793	직진우회전진행방해	사망자수	주	1	0
794	직진우회전진행방해	부상자수	주	1	496
795	직진우회전진행방해	사고건수	주	2	317
796	직진우회전진행방해	사망자수	주	2	0
797	직진우회전진행방해	부상자수	주	2	505
798	직진우회전진행방해	사고건수	주	3	362
799	직진우회전진행방해	사망자수	주	3	0
800	직진우회전진행방해	부상자수	주	3	589
801	직진우회전진행방해	사고건수	주	4	376
802	직진우회전진행방해	사망자수	주	4	1
803	직진우회전진행방해	부상자수	주	4	635
804	직진우회전진행방해	사고건수	주	5	388
805	직진우회전진행방해	사망자수	주	5	1
806	직진우회전진행방해	부상자수	주	5	651
807	직진우회전진행방해	사고건수	주	6	380
808	직진우회전진행방해	사망자수	주	6	4
809	직진우회전진행방해	부상자수	주	6	646
810	직진우회전진행방해	사고건수	주	7	462
811	직진우회전진행방해	사망자수	주	7	0
812	직진우회전진행방해	부상자수	주	7	731
813	직진우회전진행방해	사고건수	주	8	376
814	직진우회전진행방해	사망자수	주	8	1
815	직진우회전진행방해	부상자수	주	8	603
816	직진우회전진행방해	사고건수	주	9	400
817	직진우회전진행방해	사망자수	주	9	0
818	직진우회전진행방해	부상자수	주	9	644
819	직진우회전진행방해	사고건수	주	10	400
820	직진우회전진행방해	사망자수	주	10	0
821	직진우회전진행방해	부상자수	주	10	675
822	직진우회전진행방해	사고건수	주	11	360
823	직진우회전진행방해	사망자수	주	11	2
824	직진우회전진행방해	부상자수	주	11	559
825	직진우회전진행방해	사고건수	주	12	355
826	직진우회전진행방해	사망자수	주	12	2
827	직진우회전진행방해	부상자수	주	12	535
828	직진우회전진행방해	사고건수	야	1	119
829	직진우회전진행방해	사망자수	야	1	0
830	직진우회전진행방해	부상자수	야	1	186
831	직진우회전진행방해	사고건수	야	2	148
832	직진우회전진행방해	사망자수	야	2	0
833	직진우회전진행방해	부상자수	야	2	231
834	직진우회전진행방해	사고건수	야	3	125
835	직진우회전진행방해	사망자수	야	3	0
836	직진우회전진행방해	부상자수	야	3	206
837	직진우회전진행방해	사고건수	야	4	186
838	직진우회전진행방해	사망자수	야	4	0
839	직진우회전진행방해	부상자수	야	4	292
840	직진우회전진행방해	사고건수	야	5	157
841	직진우회전진행방해	사망자수	야	5	0
842	직진우회전진행방해	부상자수	야	5	235
843	직진우회전진행방해	사고건수	야	6	153
844	직진우회전진행방해	사망자수	야	6	0
845	직진우회전진행방해	부상자수	야	6	240
846	직진우회전진행방해	사고건수	야	7	189
847	직진우회전진행방해	사망자수	야	7	0
848	직진우회전진행방해	부상자수	야	7	293
849	직진우회전진행방해	사고건수	야	8	144
850	직진우회전진행방해	사망자수	야	8	0
851	직진우회전진행방해	부상자수	야	8	220
852	직진우회전진행방해	사고건수	야	9	141
853	직진우회전진행방해	사망자수	야	9	1
854	직진우회전진행방해	부상자수	야	9	199
855	직진우회전진행방해	사고건수	야	10	146
856	직진우회전진행방해	사망자수	야	10	0
857	직진우회전진행방해	부상자수	야	10	225
858	직진우회전진행방해	사고건수	야	11	169
859	직진우회전진행방해	사망자수	야	11	0
860	직진우회전진행방해	부상자수	야	11	268
861	직진우회전진행방해	사고건수	야	12	147
862	직진우회전진행방해	사망자수	야	12	0
863	직진우회전진행방해	부상자수	야	12	234
