	법규위반유형	유형	주야	월	사고수
160	앞지르기금지위반	사망자수	야	6	0
161	앞지르기금지위반	부상자수	야	6	15
162	앞지르기금지위반	사고건수	야	7	10
163	앞지르기금지위반	사망자수	야	7	0
164	앞지르기금지위반	부상자수	야	7	15
165	앞지르기금지위반	사고건수	야	8	5
166	앞지르기금지위반	사망자수	야	8	0
167	앞지르기금지위반	부상자수	야	8	7
168	앞지르기금지위반	사고건수	야	9	6
169	앞지르기금지위반	사망자수	야	9	0
170	앞지르기금지위반	부상자수	야	9	8
171	앞지르기금지위반	사고건수	야	10	10
172	앞지르기금지위반	사망자수	야	10	0
173	앞지르기금지위반	부상자수	야	10	13
174	앞지르기금지위반	사고건수	야	11	9
175	앞지르기금지위반	사망자수	야	11	0
176	앞지르기금지위반	부상자수	야	11	16
177	앞지르기금지위반	사고건수	야	12	5
178	앞지르기금지위반	사망자수	야	12	0
179	앞지르기금지위반	부상자수	야	12	10
180	중앙선침범	사고건수	주	1	369
181	중앙선침범	사망자수	주	1	7
182	중앙선침범	부상자수	주	1	601
183	중앙선침범	사고건수	주	2	373
184	중앙선침범	사망자수	주	2	8
185	중앙선침범	부상자수	주	2	591
186	중앙선침범	사고건수	주	3	411
187	중앙선침범	사망자수	주	3	9
188	중앙선침범	부상자수	주	3	647
189	중앙선침범	사고건수	주	4	405
190	중앙선침범	사망자수	주	4	9
191	중앙선침범	부상자수	주	4	634
192	중앙선침범	사고건수	주	5	436
193	중앙선침범	사망자수	주	5	11
194	중앙선침범	부상자수	주	5	714
195	중앙선침범	사고건수	주	6	492
196	중앙선침범	사망자수	주	6	9
197	중앙선침범	부상자수	주	6	811
198	중앙선침범	사고건수	주	7	547
199	중앙선침범	사망자수	주	7	7
200	중앙선침범	부상자수	주	7	892
201	중앙선침범	사고건수	주	8	447
202	중앙선침범	사망자수	주	8	9
203	중앙선침범	부상자수	주	8	769
204	중앙선침범	사고건수	주	9	454
205	중앙선침범	사망자수	주	9	4
206	중앙선침범	부상자수	주	9	781
207	중앙선침범	사고건수	주	10	463
208	중앙선침범	사망자수	주	10	8
209	중앙선침범	부상자수	주	10	721
210	중앙선침범	사고건수	주	11	472
211	중앙선침범	사망자수	주	11	18
