사고유형_대,사고유형_소,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
사고유형_대,사고유형_소,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
차대사람,횡단중,"12,767",445,"13,121","1,017",33,"1,036",945,27,980,"1,060",36,"1,074","1,117",31,"1,162","1,091",39,"1,128","1,000",23,"1,024",944,35,983,951,35,976,"1,042",39,"1,062","1,163",61,"1,192","1,267",41,"1,303","1,170",45,"1,201"
차대사람,차도통행중,"3,628",146,"3,628",249,10,249,256,10,257,305,11,308,320,7,324,290,9,293,306,13,302,294,7,296,261,11,264,310,12,312,364,16,367,357,24,349,316,16,307
차대사람,길가장자리구역통행중,"1,973",33,"2,014",171,5,172,149,0,153,176,1,181,179,3,179,154,4,162,166,4,167,171,4,176,131,1,135,147,0,153,171,5,173,197,4,203,161,2,160
차대사람,보도통행중,"2,226",21,"2,331",140,4,141,126,1,131,189,3,196,201,2,211,217,2,230,200,1,210,177,0,188,168,1,177,191,2,199,216,2,223,222,2,238,179,1,187
차대사람,기타/불명,"14,675",333,"15,088",980,26,"1,007",969,16,998,"1,241",26,"1,275","1,318",22,"1,350","1,266",28,"1,292","1,259",16,"1,301","1,232",37,"1,256","1,081",22,"1,114","1,294",36,"1,335","1,341",27,"1,393","1,410",39,"1,443","1,284",38,"1,324"
차대차,충돌,"83,093",611,"125,806","5,993",37,"9,141","6,040",46,"9,292","6,852",40,"10,314","7,287",45,"11,010","7,071",52,"10,812","7,353",53,"11,146","7,657",56,"11,599","6,770",54,"10,316","6,980",43,"10,515","7,285",61,"11,007","7,198",67,"10,891","6,607",57,"9,763"
차대차,추돌,"32,717",379,"57,423","2,675",28,"4,584","2,441",24,"4,345","2,671",33,"4,706","2,701",24,"4,869","2,716",27,"4,808","2,611",28,"4,577","2,766",36,"4,776","2,617",33,"4,611","2,769",33,"4,895","3,008",47,"5,320","2,876",36,"5,016","2,866",30,"4,916"
차대차,기타/불명,"44,222",248,"63,445","3,145",15,"4,401","3,006",14,"4,307","3,466",14,"5,182","3,627",14,"5,305","3,840",26,"5,584","3,909",19,"5,678","4,025",18,"5,757","3,731",24,"5,401","3,696",26,"5,164","4,108",24,"5,932","3,914",26,"5,517","3,755",28,"5,217"
차량단독,전도/전복,"1,121",118,"1,191",83,6,83,83,21,82,89,7,89,91,9,97,110,12,112,119,12,130,103,12,134,104,11,99,98,8,106,87,11,90,82,4,94,72,5,75
차량단독,충돌,"2,765",343,"3,313",189,20,220,229,28,314,231,22,251,234,33,289,252,30,297,256,36,316,272,20,338,254,36,311,176,25,188,231,38,262,215,25,274,226,30,253
차량단독,추락,385,73,422,23,2,38,25,4,23,25,5,22,38,13,39,45,6,49,39,7,42,37,7,45,35,7,36,34,7,38,30,7,33,27,4,28,27,4,29
차량단독,기타이탈,156,18,186,11,3,11,12,1,13,12,1,18,15,2,14,7,0,9,21,4,26,17,2,16,9,0,15,11,0,11,19,2,25,13,2,14,9,1,14
차량단독,기타/불명,"3,401",148,"3,639",233,8,240,230,11,265,283,10,312,275,7,293,319,20,349,336,11,371,299,20,306,305,12,326,264,15,274,277,11,290,318,11,336,262,12,277
철길건널목,철길건널목,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
