도로형태_대,도로형태_소,시간대,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
도로형태_대,도로형태_소,시간대,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
단일로,고가도로위,04시-06시,24,1,36,-,-,-,1,0,1,-,-,-,1,0,1,3,0,6,-,-,-,4,0,7,1,0,1,5,0,9,2,0,2,2,1,1,5,0,8
단일로,고가도로위,06시-08시,51,0,89,3,0,3,6,0,6,5,0,15,5,0,8,6,0,11,2,0,4,4,0,5,2,0,4,3,0,3,3,0,4,8,0,20,4,0,6
단일로,고가도로위,08시-10시,69,1,108,6,0,8,7,0,8,4,0,5,11,0,20,9,1,13,2,0,4,4,0,8,8,0,14,3,0,9,3,0,4,5,0,6,7,0,9
단일로,고가도로위,10시-12시,77,1,130,7,0,10,2,0,4,6,0,9,3,0,7,2,0,6,8,0,13,7,0,11,9,0,13,6,0,11,10,0,17,10,1,21,7,0,8
단일로,고가도로위,12시-14시,71,1,114,5,0,6,4,0,4,4,0,5,3,0,3,7,1,7,5,0,7,6,0,11,7,0,10,6,0,8,10,0,18,7,0,13,7,0,22
단일로,고가도로위,14시-16시,78,0,139,7,0,13,13,0,27,7,0,9,9,0,13,5,0,10,6,0,10,5,0,14,7,0,9,5,0,8,3,0,3,5,0,13,6,0,10
단일로,고가도로위,16시-18시,73,0,120,4,0,5,5,0,10,6,0,16,10,0,16,4,0,4,10,0,15,6,0,9,6,0,9,4,0,8,6,0,8,5,0,10,7,0,10
단일로,고가도로위,18시-20시,101,1,182,4,0,8,7,0,9,9,1,11,7,0,11,7,0,9,10,0,22,8,0,16,5,0,7,13,0,25,6,0,21,12,0,20,13,0,23
단일로,고가도로위,20시-22시,52,1,84,5,0,7,8,0,13,3,0,6,3,0,7,4,0,7,3,0,4,4,0,4,6,1,6,3,0,6,3,0,5,5,0,7,5,0,12
단일로,고가도로위,22시-24시,56,2,84,4,2,5,2,0,3,3,0,4,10,0,15,5,0,8,5,0,8,4,0,10,4,0,4,8,0,9,3,0,4,3,0,4,5,0,10
단일로,지하차도(도로)내,00시-02시,78,5,95,6,0,7,6,0,13,10,0,15,6,0,6,6,1,5,9,2,9,7,1,10,6,1,5,7,0,8,4,0,5,5,0,5,6,0,7
단일로,지하차도(도로)내,02시-04시,47,3,54,2,0,2,2,0,2,4,0,4,4,0,4,4,0,5,6,1,9,6,0,7,6,1,6,2,0,3,3,0,3,6,1,7,2,0,2
단일로,지하차도(도로)내,04시-06시,29,4,38,-,-,-,2,0,2,7,1,7,5,0,11,-,-,-,-,-,-,3,0,3,2,0,2,5,2,3,-,-,-,2,1,1,3,0,9
단일로,지하차도(도로)내,06시-08시,108,4,150,9,0,10,10,0,14,6,0,8,17,0,33,6,0,6,12,0,17,12,1,18,4,1,5,6,1,10,12,0,13,6,1,5,8,0,11
단일로,지하차도(도로)내,08시-10시,210,3,287,21,0,29,17,1,18,18,1,30,16,0,30,18,0,24,18,0,23,16,0,21,14,0,15,15,0,18,27,1,35,17,0,23,13,0,21
단일로,지하차도(도로)내,10시-12시,212,12,328,24,2,35,8,0,10,21,3,26,18,1,25,15,0,24,16,1,27,27,1,49,18,0,28,17,1,21,15,1,37,21,2,28,12,0,18
단일로,지하차도(도로)내,12시-14시,243,11,372,27,0,47,14,0,25,20,1,20,24,0,44,18,2,27,18,1,18,25,2,56,27,0,44,13,1,17,25,1,36,20,3,25,12,0,13
단일로,지하차도(도로)내,14시-16시,275,3,428,26,0,50,24,0,44,24,0,48,28,0,41,31,1,42,24,1,31,26,0,43,15,0,23,25,1,30,17,0,27,18,0,23,17,0,26
단일로,지하차도(도로)내,16시-18시,296,5,488,25,0,34,19,0,39,17,2,23,38,1,65,35,2,59,23,0,43,30,0,55,33,0,54,22,0,34,23,0,41,15,0,22,16,0,19
단일로,지하차도(도로)내,18시-20시,300,7,439,38,1,56,23,1,34,24,1,31,19,0,29,28,0,44,25,0,28,17,1,26,23,0,36,25,0,39,35,1,47,18,0,38,25,2,31
단일로,지하차도(도로)내,20시-22시,208,7,299,31,1,48,20,0,28,17,1,27,16,1,21,17,0,22,18,1,22,12,0,22,18,1,25,14,0,20,18,1,24,13,0,16,14,1,24
단일로,지하차도(도로)내,22시-24시,138,6,203,13,0,17,14,0,28,21,2,38,9,0,15,8,0,12,6,0,8,12,0,18,10,2,10,12,0,15,15,1,18,11,0,17,7,1,7
단일로,기타단일로,00시-02시,"2,348",96,"3,294",146,6,191,155,7,225,200,5,297,176,5,257,207,9,295,209,7,281,234,8,339,164,11,236,156,8,207,188,11,261,283,11,393,230,8,312
단일로,기타단일로,02시-04시,"1,252",87,"1,687",60,3,88,86,7,120,104,4,132,108,2,136,125,12,186,111,7,137,131,10,170,87,6,139,98,11,125,71,7,95,164,10,227,107,8,132
단일로,기타단일로,04시-06시,"1,474",93,"1,940",106,6,138,77,5,93,122,10,144,112,8,142,147,7,207,110,6,143,117,9,157,126,9,159,115,8,143,137,8,208,166,10,226,139,7,180
단일로,기타단일로,06시-08시,"4,431",146,"6,087",356,13,482,275,12,359,364,8,488,353,8,511,347,6,486,407,12,579,368,8,501,310,8,428,341,8,488,381,14,510,473,24,680,456,25,575
단일로,기타단일로,08시-10시,"8,061",139,"11,269",539,11,825,513,18,722,675,8,981,699,11,917,670,9,928,770,10,"1,079",746,10,"1,013",611,14,858,705,13,950,750,7,"1,065",727,16,989,656,12,942
단일로,기타단일로,10시-12시,"8,723",141,"12,450",600,10,884,560,11,798,686,11,942,731,13,"1,054",761,15,"1,110",827,10,"1,187",820,12,"1,183",728,9,"1,061",776,12,"1,108",796,15,"1,142",778,13,"1,082",660,10,899
